userId,achievementId,rep
5566,18031,700
19272803,18031,700
53652925,18031,700
36931663,18031,700
61056109,18031,700
75241922,18031,700
6504887,18031,700
23265990,18031,700
16473432,18031,700
66522225,18031,700
4933721,18031,700
4439606,18031,700
12486247,18031,700
15782045,18031,700
29555422,18031,700
42601174,18031,700
39102073,18031,700
24699572,18031,700
31922787,18031,700
654,18031,700
20280014,18031,700
26424605,18031,700
761,18031,700
54,18031,700
31111113,18031,700
13913203,18031,700
43020040,18031,700
26008971,18031,700
40233587,18031,700
44907137,18031,700
76451166,18031,700
27479837,18031,700
16258714,18031,700
33274127,18031,700
75358539,18031,700
27508626,18031,700
33055472,18031,700
16211709,18031,700
13525194,18031,700
74097960,18031,700
21095469,18031,700
39509547,18031,700
16663663,18031,700
53766077,18031,700
31503067,18031,700
22155245,18031,700
43184413,18031,700
33410080,18031,700
37714659,18031,700
75589024,18031,700
39153555,18031,700
24948728,18031,700
4061387,18031,700
65390049,18031,700
43040997,18031,700
37316781,18031,700
28308632,18031,700
37428369,18031,700
74121320,18031,700
24143829,18031,700
36687639,18031,700
36640334,18031,700
237277,18031,700
30311434,18031,700
4200006,18031,700
74039303,18031,700
36853628,18031,700
9604597,18031,700
15072691,18031,700
25354644,18031,700
41339883,18031,700
37420094,18031,700
17936380,18031,700
11961890,18031,700
36922951,18031,700
26096078,18031,700
16906255,18031,700
24687958,18031,700
38460006,18031,700
36991481,18031,700
25979916,18031,700
22908176,18031,700
18949416,18031,700
72867416,18031,700
76867158,18031,700
27679959,18031,700
16427820,18031,700
36966494,18031,700
15295428,18031,700
21023628,18031,700
75514073,18031,700
20016097,18031,700
75195275,18031,700
14529223,18031,700
20746360,18031,700
24901238,18031,700
39049475,18031,700
74777333,18031,700
30855505,18031,700
14549137,18031,700
16445366,18031,700
36972161,18031,700
40608662,18031,700
73790574,18031,700
34920879,18031,700
34067820,18031,700
15491089,18031,700
75029726,18031,700
31755051,18031,700
344,18031,700
21616055,18031,700
31737055,18031,700
11746696,18031,700
5234445,18031,700
4907348,18031,700
9743667,18031,700
21943743,18031,700
15176579,18031,700
21002602,18031,700
43149427,18031,700
33222111,18031,700
74387456,18031,700
19367467,18031,700
33337711,18031,700
18301210,18031,700
45550505,18031,700
35040081,18031,700
73526562,18031,700
28913707,18031,700
73143221,18031,700
26745328,18031,700
43906291,18031,700
21775345,18031,700
38546673,18031,700
36379535,18031,700
18196931,18031,700
9184608,18031,700
889,18031,700
27024978,18031,700
21453757,18031,700
27111111,18031,700
7433347,18031,700
33319487,18031,700
12421829,18031,700
50774097,18031,700
44192385,18031,700
13836264,18031,700
2737223,18031,700
39122386,18031,700
76406550,18031,700
23992600,18031,700
35976250,18031,700
74647724,18031,700
27219492,18031,700
22442965,18031,700
7744459,18031,700
12248768,18031,700
32014468,18031,700
25350548,18031,700
32779479,18031,700
887,18031,700
30460254,18031,700
30338857,18031,700
22677099,18031,700
41385195,18031,700
32506421,18031,700
34376957,18031,700
11803401,18031,700
39472293,18031,700
9394702,18031,700
22475394,18031,700
9456180,18031,700
75846805,18031,700
33394075,18031,700
33701535,18031,700
16386926,18031,700
76467127,18031,700
34321111,18031,700
17218709,18031,700
36685501,18031,700
60037737,18031,700
18092014,18031,700
19050723,18031,700
25154827,18031,700
35003548,18031,700
34176839,18031,700
2059954,18031,700
13308559,18031,700
76885171,18031,700
10158345,18031,700
36037835,18031,700
19718247,18031,700
27948180,18031,700
16804026,18031,700
37625038,18031,700
1014216,18031,700
75395096,18031,700
29891474,18031,700
